git_hash=e04fc47,max_arr_sz=12500000000
n,duration_ns
2,542720.000000
2,511872.000000
2,529408.000000
2,553824.000000
2,326656.000000
2,479040.000000
2,305152.000000
2,390112.000000
2,590848.000000
2,519168.031250
2,594944.000000
2,525280.000000
2,576512.000000
2,638976.000000
2,322560.000000
2,507904.000000
2,551936.000000
2,577536.000000
2,311296.000000
2,315392.000000
2,581632.000000
2,557056.000000
2,471968.000000
2,541664.000000
2,552960.000000
2,377856.000000
2,817152.000000
2,525312.000000
2,493440.000000
2,633856.000000
125000002,398336.000000
125000002,815104.000000
125000002,685056.000000
125000002,756640.000000
125000002,815232.000000
125000002,787456.000000
125000002,712576.000000
125000002,666624.000000
125000002,728064.000000
125000002,777216.000000
125000002,645120.000000
125000002,438272.000000
125000002,410624.000000
125000002,384000.000000
125000002,661504.000000
125000002,712704.000000
125000002,648160.000000
125000002,766816.000000
125000002,742400.000000
125000002,458752.000000
125000002,391072.000000
125000002,654336.000000
125000002,677856.000000
125000002,645120.000000
125000002,733184.000000
125000002,745472.000000
125000002,720864.000000
125000002,722944.000000
125000002,421888.000000
125000002,436224.000000
250000002,394240.000000
250000002,816128.000000
250000002,826176.000000
250000002,705536.000000
250000002,720896.000000
250000002,712576.000000
250000002,837632.000000
250000002,743424.000000
250000002,762880.000000
250000002,630784.000000
250000002,897024.000000
250000002,743424.000000
250000002,749440.000000
250000002,704512.000000
250000002,877568.000000
250000002,886784.000000
250000002,747520.000000
250000002,748416.000000
250000002,738304.000000
250000002,585728.000000
250000002,621568.000000
250000002,581632.000000
250000002,640000.000000
250000002,868224.000000
250000002,886784.000000
250000002,822272.000000
250000002,800768.000000
250000002,754880.000000
250000002,839680.000000
250000002,821248.000000
375000002,661504.000000
375000002,673792.000000
375000002,1171264.000000
375000002,753632.000000
375000002,612352.000000
375000002,619520.000000
375000002,666624.000000
375000002,550912.000000
375000002,654336.000000
375000002,670720.000000
375000002,708448.000000
375000002,680960.000000
375000002,421888.000000
375000002,618496.000000
375000002,479232.000000
375000002,726976.000000
375000002,496640.000000
375000002,609344.000000
375000002,721920.000000
375000002,623616.000000
375000002,569344.000000
375000002,440096.000000
375000002,392192.000000
375000002,562176.000000
375000002,613376.000000
375000002,899296.000000
375000002,606272.000000
375000002,649216.000000
375000002,715776.000000
375000002,635904.000000
500000002,583680.000000
500000002,727040.000000
500000002,719872.000000
500000002,784384.000000
500000002,783360.000000
500000002,686080.000000
500000002,687104.000000
500000002,801632.000000
500000002,481216.000000
500000002,470016.000000
500000002,740352.000000
500000002,729216.000000
500000002,768000.000000
500000002,747520.000000
500000002,696256.000000
500000002,746432.000000
500000002,845824.000000
500000002,483328.000000
500000002,659456.000000
500000002,745472.000000
500000002,689152.000000
500000002,822272.000000
500000002,738304.000000
500000002,734208.000000
500000002,745440.000000
500000002,740224.000000
500000002,835584.000000
500000002,468992.000000
500000002,698368.000000
500000002,744448.000000
625000002,693248.000000
625000002,711680.000000
625000002,408576.000000
625000002,580480.000000
625000002,640064.000000
625000002,654336.000000
625000002,626688.000000
625000002,511936.000000
625000002,517023.968750
625000002,540672.000000
625000002,667648.000000
625000002,673792.000000
625000002,855968.000000
625000002,662528.000000
625000002,652352.000000
625000002,657408.000000
625000002,601088.000000
625000002,647168.000000
625000002,537600.000000
625000002,631808.000000
625000002,656384.000000
625000002,694112.000000
625000002,512000.031250
625000002,580576.000000
625000002,660480.000000
625000002,632832.000000
625000002,661504.000000
625000002,668672.000000
625000002,710656.000000
625000002,643072.000000
750000002,753664.000000
750000002,723808.000000
750000002,785408.000000
750000002,604160.000000
750000002,713728.000000
750000002,751616.000000
750000002,1027008.062500
750000002,680960.000000
750000002,702464.000000
750000002,703488.000000
750000002,675712.000000
750000002,651360.000000
750000002,692224.000000
750000002,413696.000000
750000002,662528.000000
750000002,718944.000000
750000002,761856.000000
750000002,708608.000000
750000002,1035264.000000
750000002,722720.000000
750000002,695296.000000
750000002,694016.000000
750000002,418816.000000
750000002,571360.000000
750000002,813920.000000
750000002,841728.000000
750000002,663552.000000
750000002,750592.000000
750000002,720896.000000
750000002,729024.000000
875000002,792576.000000
875000002,822272.000000
875000002,791552.000000
875000002,696320.000000
875000002,747520.000000
875000002,785312.000000
875000002,827392.000000
875000002,772096.000000
875000002,742400.000000
875000002,798720.000000
875000002,645120.000000
875000002,774144.000000
875000002,665600.000000
875000002,780288.000000
875000002,847776.000000
875000002,787456.000000
875000002,791552.000000
875000002,791552.000000
875000002,541696.000000
875000002,729088.000000
875000002,772096.000000
875000002,647008.000000
875000002,713728.000000
875000002,837632.000000
875000002,587776.000000
875000002,764928.000000
875000002,782304.000000
875000002,1061888.000000
875000002,812032.000000
875000002,617312.000000
1000000002,606080.000000
1000000002,619520.000000
1000000002,801792.000000
1000000002,718848.000000
1000000002,658432.000000
1000000002,709632.000000
1000000002,720896.000000
1000000002,423936.000000
1000000002,688256.000000
1000000002,719872.000000
1000000002,738304.000000
1000000002,677760.000000
1000000002,699360.000000
1000000002,680960.000000
1000000002,468992.000000
1000000002,596992.000000
1000000002,645984.000000
1000000002,531456.000000
1000000002,483200.000000
1000000002,629760.000000
1000000002,685056.000000
1000000002,658432.000000
1000000002,687104.000000
1000000002,656384.000000
1000000002,562176.000000
1000000002,581632.000000
1000000002,613376.000000
1000000002,667648.000000
1000000002,434176.000000
1000000002,414720.000000
1125000002,672768.000000
1125000002,739328.000000
1125000002,706560.000000
1125000002,781312.000000
1125000002,879520.000000
1125000002,453376.000000
1125000002,720896.000000
1125000002,792576.000000
1125000002,779264.000000
1125000002,723968.000000
1125000002,751616.000000
1125000002,700416.000000
1125000002,841728.000000
1125000002,590848.000000
1125000002,444416.000000
1125000002,405504.000000
1125000002,814080.000000
1125000002,742400.000000
1125000002,933984.000000
1125000002,708608.000000
1125000002,707584.000000
1125000002,778240.000000
1125000002,752640.000000
1125000002,451360.000000
1125000002,479232.000000
1125000002,791552.000000
1125000002,758784.000000
1125000002,627712.000000
1125000002,614400.000000
1125000002,728064.000000
1250000002,742400.000000
1250000002,586752.000000
1250000002,604160.000000
1250000002,407552.000000
1250000002,736160.000000
1250000002,446464.000000
1250000002,669696.000000
1250000002,596992.000000
1250000002,617472.000000
1250000002,701440.000000
1250000002,611328.000000
1250000002,673792.000000
1250000002,628736.000000
1250000002,742400.000000
1250000002,885760.000000
1250000002,610304.000000
1250000002,395264.000000
1250000002,448512.000000
1250000002,690176.000000
1250000002,689152.000000
1250000002,518144.000000
1250000002,479040.000000
1250000002,653152.000000
1250000002,702464.000000
1250000002,636928.000000
1250000002,601888.000000
1250000002,542624.000000
1250000002,587776.000000
1250000002,709632.000000
1250000002,625664.000000
1375000002,650240.000000
1375000002,575488.000000
1375000002,422912.000000
1375000002,385920.000000
1375000002,402336.000000
1375000002,735168.000000
1375000002,737280.000000
1375000002,707584.000000
1375000002,652288.000000
1375000002,784384.000000
1375000002,714752.000000
1375000002,648064.000000
1375000002,522239.968750
1375000002,677888.000000
1375000002,773248.000000
1375000002,908288.000000
1375000002,646144.000000
1375000002,680960.000000
1375000002,708608.000000
1375000002,404480.000000
1375000002,398336.000000
1375000002,709632.000000
1375000002,691200.000000
1375000002,666624.000000
1375000002,525312.000000
1375000002,542720.000000
1375000002,557056.000000
1375000002,709632.000000
1375000002,748544.000000
1375000002,429952.000000
1500000002,796672.000000
1500000002,836608.000000
1500000002,600064.000000
1500000002,703424.000000
1500000002,826368.000000
1500000002,999424.000000
1500000002,716800.000000
1500000002,747520.000000
1500000002,429056.000000
1500000002,703488.000000
1500000002,814080.000000
1500000002,791552.000000
1500000002,789504.000000
1500000002,774144.000000
1500000002,747520.000000
1500000002,822272.000000
1500000002,831488.000000
1500000002,858112.000000
1500000002,792480.000000
1500000002,799840.000000
1500000002,809984.000000
1500000002,835584.000000
1500000002,780288.000000
1500000002,742400.000000
1500000002,807936.000000
1500000002,759616.000000
1500000002,852992.000000
1500000002,711680.000000
1500000002,859136.000000
1500000002,794624.000000
1625000002,710656.000000
1625000002,678656.000000
1625000002,740352.000000
1625000002,832320.000000
1625000002,727296.000000
1625000002,668448.000000
1625000002,693248.000000
1625000002,696320.000000
1625000002,671744.000000
1625000002,816128.000000
1625000002,624640.000000
1625000002,604160.000000
1625000002,735136.000000
1625000002,719872.000000
1625000002,676864.000000
1625000002,581632.000000
1625000002,555872.000000
1625000002,881536.000000
1625000002,614272.000000
1625000002,607232.000000
1625000002,561152.000000
1625000002,543680.000000
1625000002,671744.000000
1625000002,508928.000000
1625000002,576512.000000
1625000002,546816.000000
1625000002,489472.000000
1625000002,463872.000000
1625000002,671744.000000
1625000002,637952.000000
1750000002,688128.000000
1750000002,750528.000000
1750000002,776192.000000
1750000002,741376.000000
1750000002,747520.000000
1750000002,678912.000000
1750000002,791552.000000
1750000002,672768.000000
1750000002,901120.000000
1750000002,835584.000000
1750000002,681984.000000
1750000002,774144.000000
1750000002,792576.000000
1750000002,999424.000000
1750000002,826368.000000
1750000002,477184.000000
1750000002,682816.000000
1750000002,650208.000000
1750000002,899040.000000
1750000002,640000.000000
1750000002,569344.000000
1750000002,716800.000000
1750000002,872448.000000
1750000002,633856.000000
1750000002,756736.000000
1750000002,820224.000000
1750000002,438272.000000
1750000002,744448.000000
1750000002,751616.000000
1750000002,763904.000000
1875000002,793600.000000
1875000002,875520.000000
1875000002,673792.000000
1875000002,780160.000000
1875000002,790784.000000
1875000002,763904.000000
1875000002,715776.000000
1875000002,880640.000000
1875000002,549728.000000
1875000002,738304.000000
1875000002,546592.000000
1875000002,789504.000000
1875000002,845824.000000
1875000002,783360.000000
1875000002,565248.000000
1875000002,841728.000000
1875000002,811008.000000
1875000002,798720.000000
1875000002,929632.000000
1875000002,831488.000000
1875000002,809984.000000
1875000002,793632.000000
1875000002,908192.000000
1875000002,848896.000000
1875000002,540672.000000
1875000002,559104.000000
1875000002,886784.000000
1875000002,871424.000000
1875000002,850944.000000
1875000002,801792.000000
2000000002,679936.000000
2000000002,812032.000000
2000000002,765952.000000
2000000002,722944.000000
2000000002,685056.000000
2000000002,745472.000000
2000000002,743424.000000
2000000002,836608.000000
2000000002,674816.000000
2000000002,705536.000000
2000000002,684800.000000
2000000002,729088.000000
2000000002,792576.000000
2000000002,640000.000000
2000000002,687104.000000
2000000002,742400.000000
2000000002,694112.000000
2000000002,614240.000000
2000000002,673792.000000
2000000002,702464.000000
2000000002,746496.000000
2000000002,691200.000000
2000000002,795648.000000
2000000002,744448.000000
2000000002,556032.000000
2000000002,798720.000000
2000000002,646144.000000
2000000002,1096704.000000
2000000002,747520.000000
2000000002,762880.000000
2125000002,783296.000000
2125000002,685056.000000
2125000002,535552.000000
2125000002,950272.000000
2125000002,773120.000000
2125000002,775168.000000
2125000002,785408.000000
2125000002,453632.000000
2125000002,835456.000000
2125000002,750592.000000
2125000002,761856.000000
2125000002,780288.000000
2125000002,525312.000000
2125000002,757600.000000
2125000002,691200.000000
2125000002,1187840.000000
2125000002,796576.000000
2125000002,829440.000000
2125000002,471040.000000
2125000002,813056.000000
2125000002,808960.000000
2125000002,618496.000000
2125000002,453632.000000
2125000002,674816.000000
2125000002,669696.000000
2125000002,640000.000000
2125000002,759808.000000
2125000002,779264.000000
2125000002,770016.000000
2125000002,724928.000000
2250000002,786432.000000
2250000002,568320.000000
2250000002,370688.000000
2250000002,659456.000000
2250000002,791552.000000
2250000002,676704.000000
2250000002,676864.000000
2250000002,736256.000000
2250000002,681984.000000
2250000002,610304.000000
2250000002,591872.000000
2250000002,735232.000000
2250000002,576512.000000
2250000002,869376.000000
2250000002,433152.000000
2250000002,584704.000000
2250000002,646080.000000
2250000002,766976.000000
2250000002,805888.000000
2250000002,624640.000000
2250000002,731136.000000
2250000002,567296.000000
2250000002,675840.000000
2250000002,1056768.000000
2250000002,671744.000000
2250000002,686080.000000
2250000002,665600.000000
2250000002,716800.000000
2250000002,658432.000000
2250000002,660480.000000
2375000002,826368.000000
2375000002,411648.000000
2375000002,659456.000000
2375000002,662368.000000
2375000002,1049600.000000
2375000002,771104.000000
2375000002,731136.000000
2375000002,926720.000000
2375000002,733184.000000
2375000002,906208.000000
2375000002,593920.000000
2375000002,594944.000000
2375000002,557056.000000
2375000002,787456.000000
2375000002,803840.000000
2375000002,700416.000000
2375000002,747520.000000
2375000002,788480.000000
2375000002,574464.000000
2375000002,453632.000000
2375000002,434176.000000
2375000002,648192.000000
2375000002,790272.000000
2375000002,756736.000000
2375000002,751616.000000
2375000002,729152.000000
2375000002,739264.000000
2375000002,749568.000000
2375000002,763904.000000
2375000002,606208.000000
2500000002,507744.000000
2500000002,754688.000000
2500000002,901120.000000
2500000002,968704.000000
2500000002,848896.000000
2500000002,878592.000000
2500000002,816128.000000
2500000002,804864.000000
2500000002,470016.000000
2500000002,715776.000000
2500000002,740352.000000
2500000002,677888.000000
2500000002,747520.000000
2500000002,983040.000000
2500000002,526336.000000
2500000002,814080.000000
2500000002,788352.000000
2500000002,967680.000000
2500000002,539648.000000
2500000002,823296.000000
2500000002,867328.000000
2500000002,870528.000000
2500000002,845824.000000
2500000002,828416.000000
2500000002,705536.000000
2500000002,804864.000000
2500000002,903168.000000
2500000002,907264.000000
2500000002,519168.031250
2500000002,494592.000000
2625000002,706560.000000
2625000002,765824.000000
2625000002,848896.000000
2625000002,727040.000000
2625000002,595968.000000
2625000002,699392.000000
2625000002,727040.000000
2625000002,790528.000000
2625000002,705440.000000
2625000002,690176.000000
2625000002,444288.000000
2625000002,730112.000000
2625000002,770048.000000
2625000002,709632.000000
2625000002,425984.000000
2625000002,644096.000000
2625000002,737280.000000
2625000002,446336.000000
2625000002,758688.000000
2625000002,629760.000000
2625000002,703360.000000
2625000002,847872.000000
2625000002,726016.000000
2625000002,663552.000000
2625000002,757760.000000
2625000002,765952.000000
2625000002,738304.000000
2625000002,701440.000000
2625000002,743424.000000
2625000002,676800.000000
2750000002,789504.000000
2750000002,738304.000000
2750000002,772096.000000
2750000002,773120.000000
2750000002,831488.000000
2750000002,950272.000000
2750000002,764928.000000
2750000002,659456.000000
2750000002,684032.000000
2750000002,901120.000000
2750000002,577536.000000
2750000002,688992.000000
2750000002,776192.000000
2750000002,764928.000000
2750000002,1029119.937500
2750000002,700416.000000
2750000002,846848.000000
2750000002,440288.000000
2750000002,902144.000000
2750000002,451520.000000
2750000002,663552.000000
2750000002,713728.000000
2750000002,591872.000000
2750000002,759808.000000
2750000002,589824.000000
2750000002,761856.000000
2750000002,484352.000000
2750000002,761664.000000
2750000002,717824.000000
2750000002,733056.000000
2875000002,782432.000000
2875000002,676864.000000
2875000002,660480.000000
2875000002,756864.000000
2875000002,579552.000000
2875000002,690176.000000
2875000002,826368.000000
2875000002,599040.000000
2875000002,627680.000000
2875000002,713728.000000
2875000002,619520.000000
2875000002,525312.000000
2875000002,583680.000000
2875000002,643072.000000
2875000002,500576.031250
2875000002,666400.000000
2875000002,598016.000000
2875000002,564992.000000
2875000002,684064.000000
2875000002,611328.000000
2875000002,626688.000000
2875000002,501760.000000
2875000002,445440.000000
2875000002,583680.000000
2875000002,570368.000000
2875000002,655360.000000
2875000002,622592.000000
2875000002,562176.000000
2875000002,481280.000000
2875000002,765952.000000
3000000002,760832.000000
3000000002,694272.000000
3000000002,689056.000000
3000000002,729088.000000
3000000002,656384.000000
3000000002,702464.000000
3000000002,755616.000000
3000000002,730112.000000
3000000002,615424.000000
3000000002,573440.000000
3000000002,698368.000000
3000000002,646112.000000
3000000002,759808.000000
3000000002,700416.000000
3000000002,748544.000000
3000000002,698368.000000
3000000002,713728.000000
3000000002,755712.000000
3000000002,675840.000000
3000000002,428032.000000
3000000002,759808.000000
3000000002,569344.000000
3000000002,544736.000000
3000000002,737280.000000
3000000002,498688.000000
3000000002,714752.000000
3000000002,782208.000000
3000000002,772000.000000
3000000002,675840.000000
3000000002,705280.000000
3125000002,814080.000000
3125000002,741376.000000
3125000002,1175552.000000
3125000002,679936.000000
3125000002,739328.000000
3125000002,841728.000000
3125000002,788480.000000
3125000002,821248.000000
3125000002,494592.000000
3125000002,763808.000000
3125000002,736256.000000
3125000002,737280.000000
3125000002,855040.000000
3125000002,793600.000000
3125000002,705536.000000
3125000002,790528.000000
3125000002,840608.000000
3125000002,786432.000000
3125000002,711584.000000
3125000002,535456.000000
3125000002,924672.000000
3125000002,819040.000000
3125000002,584704.000000
3125000002,554784.000000
3125000002,571328.000000
3125000002,835584.000000
3125000002,783360.000000
3125000002,792576.000000
3125000002,512000.031250
3125000002,562112.000000
3250000002,674784.000000
3250000002,379712.000000
3250000002,677888.000000
3250000002,497664.000000
3250000002,742400.000000
3250000002,721920.000000
3250000002,698368.000000
3250000002,751616.000000
3250000002,716800.000000
3250000002,658432.000000
3250000002,578336.000000
3250000002,652288.000000
3250000002,621568.000000
3250000002,625600.000000
3250000002,590848.000000
3250000002,715680.000000
3250000002,694272.000000
3250000002,695104.000000
3250000002,890880.000000
3250000002,662528.000000
3250000002,389056.000000
3250000002,686080.000000
3250000002,398336.000000
3250000002,678912.000000
3250000002,734208.000000
3250000002,615392.000000
3250000002,629760.000000
3250000002,672768.000000
3250000002,675840.000000
3250000002,417792.000000
3375000002,693248.000000
3375000002,539648.000000
3375000002,709408.000000
3375000002,676864.000000
3375000002,828416.000000
3375000002,364544.000000
3375000002,852992.000000
3375000002,550912.000000
3375000002,688128.000000
3375000002,700416.000000
3375000002,728064.000000
3375000002,813056.000000
3375000002,1333248.000000
3375000002,605184.000000
3375000002,779264.000000
3375000002,837632.000000
3375000002,750592.000000
3375000002,750592.000000
3375000002,750592.000000
3375000002,766976.000000
3375000002,686080.000000
3375000002,418688.000000
3375000002,541696.000000
3375000002,971904.000000
3375000002,710656.000000
3375000002,718816.000000
3375000002,710656.000000
3375000002,879648.000000
3375000002,760832.000000
3375000002,811008.000000
3500000002,653408.000000
3500000002,565248.000000
3500000002,598016.000000
3500000002,638976.000000
3500000002,627712.000000
3500000002,723808.000000
3500000002,686080.000000
3500000002,689056.000000
3500000002,786432.000000
3500000002,678912.000000
3500000002,662528.000000
3500000002,374784.000000
3500000002,700416.000000
3500000002,495616.000000
3500000002,621568.000000
3500000002,659264.000000
3500000002,624640.000000
3500000002,667424.000000
3500000002,678912.000000
3500000002,590848.000000
3500000002,635712.000000
3500000002,689024.000000
3500000002,621568.000000
3500000002,630624.000000
3500000002,686080.000000
3500000002,662528.000000
3500000002,573440.000000
3500000002,557056.000000
3500000002,553984.000000
3500000002,583680.000000
3625000002,779264.000000
3625000002,798720.000000
3625000002,786528.000000
3625000002,735232.000000
3625000002,845824.000000
3625000002,683008.000000
3625000002,744448.000000
3625000002,819200.000000
3625000002,759808.000000
3625000002,713696.000000
3625000002,779264.000000
3625000002,722944.000000
3625000002,827392.000000
3625000002,718816.000000
3625000002,764832.000000
3625000002,722944.000000
3625000002,660480.000000
3625000002,691200.000000
3625000002,746560.000000
3625000002,737280.000000
3625000002,779264.000000
3625000002,770048.000000
3625000002,708608.000000
3625000002,700416.000000
3625000002,720704.000000
3625000002,1034240.000000
3625000002,681984.000000
3625000002,546816.000000
3625000002,602112.000000
3625000002,1101824.000000
3750000002,762880.000000
3750000002,745472.000000
3750000002,802816.000000
3750000002,830272.000000
3750000002,791552.000000
3750000002,858016.000000
3750000002,700416.000000
3750000002,739328.000000
3750000002,787456.000000
3750000002,902112.000000
3750000002,1102848.000000
3750000002,666624.000000
3750000002,491520.000000
3750000002,648192.000000
3750000002,737440.000000
3750000002,806912.000000
3750000002,773120.000000
3750000002,795648.000000
3750000002,874656.000000
3750000002,789504.000000
3750000002,872448.000000
3750000002,866304.000000
3750000002,681984.000000
3750000002,692224.000000
3750000002,726016.000000
3750000002,771072.000000
3750000002,753472.000000
3750000002,791552.000000
3750000002,785408.000000
3750000002,744384.000000
3875000002,701440.000000
3875000002,700416.000000
3875000002,603136.000000
3875000002,407488.000000
3875000002,520192.031250
3875000002,518144.000000
3875000002,1162240.000000
3875000002,450560.000000
3875000002,671744.000000
3875000002,685056.000000
3875000002,626496.000000
3875000002,687040.000000
3875000002,733184.000000
3875000002,739232.000000
3875000002,750592.000000
3875000002,642048.000000
3875000002,627552.000000
3875000002,664576.000000
3875000002,700416.000000
3875000002,649216.000000
3875000002,490496.000000
3875000002,526336.000000
3875000002,728064.000000
3875000002,664576.000000
3875000002,450560.000000
3875000002,631808.000000
3875000002,522239.968750
3875000002,719680.000000
3875000002,700416.000000
3875000002,662528.000000
4000000002,737280.000000
4000000002,930816.000000
4000000002,591872.000000
4000000002,688128.000000
4000000002,440288.000000
4000000002,587776.000000
4000000002,842752.000000
4000000002,783360.000000
4000000002,765952.000000
4000000002,739328.000000
4000000002,758784.000000
4000000002,767936.000000
4000000002,766976.000000
4000000002,791552.000000
4000000002,770016.000000
4000000002,417792.000000
4000000002,660480.000000
4000000002,768000.000000
4000000002,902144.000000
4000000002,675840.000000
4000000002,763904.000000
4000000002,782336.000000
4000000002,859136.000000
4000000002,826176.000000
4000000002,716800.000000
4000000002,775168.000000
4000000002,811008.000000
4000000002,662528.000000
4000000002,805888.000000
4000000002,1096704.000000
4125000002,669696.000000
4125000002,632832.000000
4125000002,655136.000000
4125000002,585728.000000
4125000002,705536.000000
4125000002,780288.000000
4125000002,421888.000000
4125000002,698368.000000
4125000002,605184.000000
4125000002,672768.000000
4125000002,599040.000000
4125000002,598016.000000
4125000002,584704.000000
4125000002,711680.000000
4125000002,678912.000000
4125000002,657248.000000
4125000002,820224.000000
4125000002,629760.000000
4125000002,476160.000000
4125000002,678912.000000
4125000002,692224.000000
4125000002,683008.000000
4125000002,698368.000000
4125000002,668672.000000
4125000002,685056.000000
4125000002,635904.000000
4125000002,684032.000000
4125000002,366496.000000
4125000002,644096.000000
