n,duration_ns|(Git Hash 4b009e8)|64000000|
62720064,6144.000000
63360064,6144.000000
64,6144.000000
640064,7168.000000
1280064,7168.000000
1920064,7168.000000
2560064,6144.000000
3200064,6144.000000
3840064,6144.000000
4480064,6144.000000
5120064,6144.000000
5760064,6144.000000
6400064,6144.000000
7040064,7168.000000
7680064,6144.000000
8320064,6144.000000
8960064,10240.000000
9600064,6144.000000
10240064,6144.000000
10880064,6144.000000
11520064,7168.000000
12160064,6144.000000
12800064,6144.000000
13440064,7168.000000
14080064,6144.000000
14720064,7168.000000
15360064,6144.000000
16000064,7168.000000
16640064,6144.000000
17280064,7168.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,6144.000000
20480064,6144.000000
21120064,6144.000000
21760064,6144.000000
22400064,7168.000000
23040064,6144.000000
23680064,10240.000000
24320064,7168.000000
24960064,6144.000000
25600064,6144.000000
26240064,6144.000000
26880064,6144.000000
27520064,5120.000000
28160064,6144.000000
28800064,7168.000000
29440064,6144.000000
30080064,7168.000000
30720064,6144.000000
31360064,6144.000000
32000064,6144.000000
32640064,7168.000000
33280064,6144.000000
33920064,7168.000000
34560064,6144.000000
35200064,6144.000000
35840064,6144.000000
36480064,6144.000000
37120064,6144.000000
37760064,6144.000000
38400064,7168.000000
39040064,6144.000000
39680064,6144.000000
40320064,6144.000000
40960064,6144.000000
41600064,6144.000000
42240064,6144.000000
42880064,7168.000000
43520064,6144.000000
44160064,7168.000000
44800064,6144.000000
45440064,6144.000000
46080064,6144.000000
46720064,6144.000000
47360064,6144.000000
48000064,6144.000000
48640064,7168.000000
49280064,6144.000000
49920064,6144.000000
50560064,6144.000000
51200064,6144.000000
51840064,7168.000000
52480064,7168.000000
53120064,6144.000000
53760064,6144.000000
54400064,6144.000000
55040064,9216.000000
55680064,7168.000000
56320064,7168.000000
56960064,6144.000000
57600064,6144.000000
58240064,6144.000000
58880064,6144.000000
59520064,6144.000000
60160064,6144.000000
60800064,7168.000000
61440064,6144.000000
62080064,6144.000000
62720064,6144.000000
63360064,7168.000000
64,6144.000000
640064,7168.000000
1280064,6144.000000
1920064,7168.000000
2560064,6144.000000
3200064,6144.000000
3840064,7168.000000
4480064,6144.000000
5120064,6144.000000
5760064,6144.000000
6400064,6144.000000
7040064,6144.000000
7680064,6144.000000
8320064,6144.000000
8960064,7168.000000
9600064,6144.000000
10240064,6144.000000
10880064,6144.000000
11520064,6144.000000
12160064,6144.000000
12800064,6144.000000
13440064,7168.000000
14080064,6144.000000
14720064,6144.000000
15360064,7168.000000
16000064,6144.000000
16640064,6144.000000
17280064,7168.000000
17920064,6144.000000
18560064,7168.000000
19200064,6144.000000
19840064,6144.000000
20480064,7168.000000
21120064,7168.000000
21760064,6144.000000
22400064,7168.000000
23040064,6144.000000
23680064,6144.000000
24320064,6144.000000
24960064,6144.000000
25600064,6144.000000
26240064,6144.000000
26880064,6144.000000
27520064,7168.000000
28160064,6144.000000
28800064,6144.000000
29440064,6144.000000
30080064,7168.000000
30720064,7168.000000
31360064,6144.000000
32000064,6144.000000
32640064,6144.000000
33280064,6144.000000
33920064,6144.000000
34560064,6144.000000
35200064,9216.000000
35840064,6144.000000
36480064,7168.000000
37120064,6144.000000
37760064,7168.000000
38400064,6144.000000
39040064,7168.000000
39680064,6144.000000
40320064,6144.000000
40960064,6144.000000
41600064,7168.000000
42240064,7168.000000
42880064,6144.000000
43520064,6144.000000
44160064,7168.000000
44800064,6144.000000
45440064,6144.000000
46080064,6144.000000
46720064,6144.000000
47360064,6144.000000
48000064,6144.000000
48640064,6144.000000
49280064,7168.000000
49920064,8192.000000
50560064,7168.000000
51200064,6144.000000
51840064,7168.000000
52480064,6144.000000
53120064,6144.000000
53760064,6144.000000
54400064,8192.000000
55040064,6144.000000
55680064,6144.000000
56320064,6144.000000
56960064,6144.000000
57600064,6144.000000
58240064,6144.000000
58880064,6144.000000
59520064,7168.000000
60160064,6144.000000
60800064,7168.000000
61440064,6144.000000
62080064,6144.000000
62720064,6144.000000
63360064,6144.000000
64,6144.000000
640064,6144.000000
1280064,6144.000000
1920064,6144.000000
2560064,6144.000000
3200064,7168.000000
3840064,6144.000000
4480064,6144.000000
5120064,6144.000000
5760064,6144.000000
6400064,6144.000000
7040064,6144.000000
7680064,6144.000000
8320064,6144.000000
8960064,6144.000000
9600064,6144.000000
10240064,6144.000000
10880064,6144.000000
11520064,6144.000000
12160064,6144.000000
12800064,6144.000000
13440064,7168.000000
14080064,6144.000000
14720064,6144.000000
15360064,6144.000000
16000064,7168.000000
16640064,6144.000000
17280064,8192.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,7168.000000
20480064,6144.000000
21120064,7168.000000
21760064,6144.000000
22400064,6144.000000
23040064,6144.000000
23680064,6144.000000
24320064,6144.000000
24960064,7168.000000
25600064,6144.000000
26240064,6144.000000
26880064,6144.000000
27520064,6144.000000
28160064,6144.000000
28800064,7168.000000
29440064,6144.000000
30080064,7168.000000
30720064,6144.000000
31360064,7168.000000
32000064,6144.000000
32640064,7168.000000
33280064,6144.000000
33920064,6144.000000
34560064,6144.000000
35200064,7168.000000
35840064,9216.000000
36480064,6144.000000
37120064,6144.000000
37760064,6144.000000
38400064,6144.000000
39040064,7168.000000
39680064,6144.000000
40320064,7168.000000
40960064,6144.000000
41600064,7168.000000
42240064,6144.000000
42880064,7168.000000
43520064,6144.000000
44160064,6144.000000
44800064,6144.000000
45440064,7168.000000
46080064,6144.000000
46720064,6144.000000
47360064,6144.000000
48000064,6144.000000
48640064,6144.000000
49280064,7168.000000
49920064,6144.000000
50560064,6144.000000
51200064,6144.000000
51840064,7168.000000
52480064,6144.000000
53120064,6144.000000
53760064,6144.000000
54400064,7168.000000
55040064,7168.000000
55680064,7168.000000
56320064,6144.000000
56960064,6144.000000
57600064,6144.000000
58240064,6144.000000
58880064,6144.000000
59520064,6144.000000
60160064,5120.000000
60800064,7168.000000
61440064,7168.000000
62080064,6144.000000
62720064,6144.000000
63360064,6144.000000
64,6144.000000
640064,7168.000000
1280064,6144.000000
1920064,6144.000000
2560064,6144.000000
3200064,6144.000000
3840064,6144.000000
4480064,6144.000000
5120064,6144.000000
5760064,6144.000000
6400064,6144.000000
7040064,6144.000000
7680064,6144.000000
8320064,6144.000000
8960064,6144.000000
9600064,6144.000000
10240064,6144.000000
10880064,7168.000000
11520064,6144.000000
12160064,6144.000000
12800064,5120.000000
13440064,6144.000000
14080064,5120.000000
14720064,6144.000000
15360064,6144.000000
16000064,7168.000000
16640064,6144.000000
17280064,7168.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,6144.000000
20480064,6144.000000
21120064,6144.000000
21760064,6144.000000
22400064,7168.000000
23040064,6144.000000
23680064,7168.000000
24320064,6144.000000
24960064,6144.000000
25600064,6144.000000
26240064,6144.000000
26880064,6144.000000
27520064,6144.000000
28160064,10240.000000
28800064,6144.000000
29440064,6144.000000
30080064,7168.000000
30720064,6144.000000
31360064,6144.000000
32000064,6144.000000
32640064,6144.000000
33280064,6144.000000
33920064,6144.000000
34560064,6144.000000
35200064,6144.000000
35840064,6144.000000
36480064,6144.000000
37120064,6144.000000
37760064,6144.000000
38400064,7168.000000
39040064,6144.000000
39680064,6144.000000
40320064,6144.000000
40960064,6144.000000
41600064,6144.000000
42240064,6144.000000
42880064,6144.000000
43520064,6144.000000
44160064,6144.000000
44800064,7168.000000
45440064,6144.000000
46080064,6144.000000
46720064,7168.000000
47360064,6144.000000
48000064,6144.000000
48640064,6144.000000
49280064,7168.000000
49920064,6144.000000
50560064,6144.000000
51200064,6144.000000
51840064,6144.000000
52480064,6144.000000
53120064,6144.000000
53760064,6144.000000
54400064,6144.000000
55040064,6144.000000
55680064,7168.000000
56320064,6144.000000
56960064,7168.000000
57600064,6144.000000
58240064,7168.000000
58880064,6144.000000
59520064,6144.000000
60160064,6144.000000
60800064,6144.000000
61440064,6144.000000
62080064,7168.000000
62720064,6144.000000
63360064,7168.000000
64,5120.000000
640064,6144.000000
1280064,7168.000000
1920064,7168.000000
2560064,7168.000000
3200064,6144.000000
3840064,7168.000000
4480064,7168.000000
5120064,6144.000000
5760064,7168.000000
6400064,6144.000000
7040064,9216.000000
7680064,6144.000000
8320064,6144.000000
8960064,6144.000000
9600064,6144.000000
10240064,6144.000000
10880064,6144.000000
11520064,6144.000000
12160064,6144.000000
12800064,6144.000000
13440064,6144.000000
14080064,6144.000000
14720064,6144.000000
15360064,6144.000000
16000064,7168.000000
16640064,7168.000000
17280064,6144.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,6144.000000
20480064,6144.000000
21120064,7168.000000
21760064,6144.000000
22400064,7168.000000
23040064,5120.000000
23680064,6144.000000
24320064,9216.000000
24960064,5120.000000
25600064,6144.000000
26240064,6144.000000
26880064,6144.000000
27520064,6144.000000
28160064,6144.000000
28800064,6144.000000
29440064,6144.000000
30080064,7168.000000
30720064,6144.000000
31360064,6144.000000
32000064,6144.000000
32640064,10240.000000
33280064,7168.000000
33920064,6144.000000
34560064,6144.000000
35200064,5120.000000
35840064,6144.000000
36480064,6144.000000
37120064,7168.000000
37760064,6144.000000
38400064,7168.000000
39040064,6144.000000
39680064,6144.000000
40320064,6144.000000
40960064,6144.000000
41600064,6144.000000
42240064,6144.000000
42880064,6144.000000
43520064,7168.000000
44160064,6144.000000
44800064,7168.000000
45440064,6144.000000
46080064,7168.000000
46720064,6144.000000
47360064,6144.000000
48000064,6144.000000
48640064,6144.000000
49280064,6144.000000
49920064,6144.000000
50560064,6144.000000
51200064,7168.000000
51840064,6144.000000
52480064,6144.000000
53120064,6144.000000
53760064,7168.000000
54400064,7168.000000
55040064,7168.000000
55680064,6144.000000
56320064,7168.000000
56960064,6144.000000
57600064,7168.000000
58240064,6144.000000
58880064,7168.000000
59520064,6144.000000
60160064,6144.000000
60800064,6144.000000
61440064,6144.000000
62080064,6144.000000
62720064,6144.000000
63360064,6144.000000
64,6144.000000
640064,6144.000000
1280064,7168.000000
1920064,6144.000000
2560064,6144.000000
3200064,6144.000000
3840064,6144.000000
4480064,6144.000000
5120064,6144.000000
5760064,6144.000000
6400064,7168.000000
7040064,6144.000000
7680064,7168.000000
8320064,7168.000000
8960064,6144.000000
9600064,6144.000000
10240064,6144.000000
10880064,6144.000000
11520064,7168.000000
12160064,6144.000000
12800064,6144.000000
13440064,6144.000000
14080064,6144.000000
14720064,6144.000000
15360064,6144.000000
16000064,6144.000000
16640064,6144.000000
17280064,6144.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,6144.000000
20480064,7168.000000
21120064,6144.000000
21760064,6144.000000
22400064,6144.000000
23040064,6144.000000
23680064,6144.000000
24320064,6144.000000
24960064,6144.000000
25600064,6144.000000
26240064,6144.000000
26880064,7168.000000
27520064,6144.000000
28160064,7168.000000
28800064,6144.000000
29440064,8192.000000
30080064,7168.000000
30720064,6144.000000
31360064,6144.000000
32000064,6144.000000
32640064,5120.000000
33280064,6144.000000
33920064,6144.000000
34560064,6144.000000
35200064,6144.000000
35840064,7168.000000
36480064,6144.000000
37120064,7168.000000
37760064,6144.000000
38400064,7168.000000
39040064,6144.000000
39680064,6144.000000
40320064,6144.000000
40960064,7168.000000
41600064,6144.000000
42240064,7168.000000
42880064,6144.000000
43520064,6144.000000
44160064,7168.000000
44800064,7168.000000
45440064,6144.000000
46080064,6144.000000
46720064,6144.000000
47360064,6144.000000
48000064,7168.000000
48640064,7168.000000
49280064,6144.000000
49920064,6144.000000
50560064,6144.000000
51200064,9216.000000
51840064,6144.000000
52480064,6144.000000
53120064,6144.000000
53760064,6144.000000
54400064,6144.000000
55040064,6144.000000
55680064,6144.000000
56320064,7168.000000
56960064,6144.000000
57600064,6144.000000
58240064,7168.000000
58880064,6144.000000
59520064,6144.000000
60160064,6144.000000
60800064,6144.000000
61440064,6144.000000
62080064,6144.000000
62720064,6144.000000
63360064,6144.000000
64,6144.000000
640064,7168.000000
1280064,6144.000000
1920064,6144.000000
2560064,6144.000000
3200064,6144.000000
3840064,6144.000000
4480064,6144.000000
5120064,6144.000000
5760064,6144.000000
6400064,6144.000000
7040064,7168.000000
7680064,6144.000000
8320064,6144.000000
8960064,6144.000000
9600064,6144.000000
10240064,7168.000000
10880064,6144.000000
11520064,7168.000000
12160064,6144.000000
12800064,9216.000000
13440064,6144.000000
14080064,6144.000000
14720064,6144.000000
15360064,7168.000000
16000064,6144.000000
16640064,7168.000000
17280064,6144.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,6144.000000
20480064,6144.000000
21120064,6144.000000
21760064,6144.000000
22400064,6144.000000
23040064,6144.000000
23680064,6144.000000
24320064,7168.000000
24960064,6144.000000
25600064,7168.000000
26240064,18432.000000
26880064,7168.000000
27520064,6144.000000
28160064,7168.000000
28800064,6144.000000
29440064,6144.000000
30080064,6144.000000
30720064,7168.000000
31360064,20480.000000
32000064,7168.000000
32640064,7168.000000
33280064,8192.000000
33920064,7168.000000
34560064,6144.000000
35200064,6144.000000
35840064,6144.000000
36480064,6144.000000
37120064,6144.000000
37760064,6144.000000
38400064,7168.000000
39040064,6144.000000
39680064,7168.000000
40320064,7168.000000
40960064,6144.000000
41600064,6144.000000
42240064,7168.000000
42880064,6144.000000
43520064,7168.000000
44160064,7168.000000
44800064,6144.000000
45440064,6144.000000
46080064,7168.000000
46720064,7168.000000
47360064,6144.000000
48000064,6144.000000
48640064,6144.000000
49280064,6144.000000
49920064,7168.000000
50560064,6144.000000
51200064,6144.000000
51840064,6144.000000
52480064,7168.000000
53120064,7168.000000
53760064,7168.000000
54400064,6144.000000
55040064,8192.000000
55680064,6144.000000
56320064,6144.000000
56960064,7168.000000
57600064,6144.000000
58240064,6144.000000
58880064,6144.000000
59520064,6144.000000
60160064,11264.000000
60800064,7168.000000
61440064,6144.000000
62080064,6144.000000
62720064,7168.000000
63360064,6144.000000
64,6144.000000
640064,6144.000000
1280064,6144.000000
1920064,6144.000000
2560064,7168.000000
3200064,6144.000000
3840064,6144.000000
4480064,6144.000000
5120064,7168.000000
5760064,6144.000000
6400064,6144.000000
7040064,6144.000000
7680064,7168.000000
8320064,6144.000000
8960064,6144.000000
9600064,9216.000000
10240064,6144.000000
10880064,6144.000000
11520064,6144.000000
12160064,5120.000000
12800064,6144.000000
13440064,6144.000000
14080064,7168.000000
14720064,6144.000000
15360064,7168.000000
16000064,7168.000000
16640064,6144.000000
17280064,6144.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,6144.000000
20480064,6144.000000
21120064,6144.000000
21760064,7168.000000
22400064,6144.000000
23040064,6144.000000
23680064,6144.000000
24320064,6144.000000
24960064,9216.000000
25600064,7168.000000
26240064,6144.000000
26880064,6144.000000
27520064,6144.000000
28160064,6144.000000
28800064,7168.000000
29440064,6144.000000
30080064,6144.000000
30720064,6144.000000
31360064,6144.000000
32000064,6144.000000
32640064,7168.000000
33280064,7168.000000
33920064,6144.000000
34560064,6144.000000
35200064,6144.000000
35840064,6144.000000
36480064,6144.000000
37120064,6144.000000
37760064,7168.000000
38400064,7168.000000
39040064,7168.000000
39680064,6144.000000
40320064,6144.000000
40960064,6144.000000
41600064,6144.000000
42240064,6144.000000
42880064,7168.000000
43520064,6144.000000
44160064,6144.000000
44800064,6144.000000
45440064,6144.000000
46080064,6144.000000
46720064,7168.000000
47360064,6144.000000
48000064,6144.000000
48640064,6144.000000
49280064,7168.000000
49920064,6144.000000
50560064,6144.000000
51200064,6144.000000
51840064,7168.000000
52480064,6144.000000
53120064,7168.000000
53760064,6144.000000
54400064,6144.000000
55040064,6144.000000
55680064,7168.000000
56320064,6144.000000
56960064,7168.000000
57600064,6144.000000
58240064,7168.000000
58880064,6144.000000
59520064,6144.000000
60160064,6144.000000
60800064,6144.000000
61440064,6144.000000
62080064,6144.000000
62720064,6144.000000
63360064,7168.000000
64,5120.000000
640064,7168.000000
1280064,6144.000000
1920064,6144.000000
2560064,6144.000000
3200064,6144.000000
3840064,6144.000000
4480064,6144.000000
5120064,9216.000000
5760064,9216.000000
6400064,6144.000000
7040064,6144.000000
7680064,6144.000000
8320064,7168.000000
8960064,6144.000000
9600064,6144.000000
10240064,6144.000000
10880064,6144.000000
11520064,7168.000000
12160064,8192.000000
12800064,7168.000000
13440064,6144.000000
14080064,6144.000000
14720064,6144.000000
15360064,6144.000000
16000064,7168.000000
16640064,6144.000000
17280064,6144.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,6144.000000
20480064,9216.000000
21120064,6144.000000
21760064,6144.000000
22400064,6144.000000
23040064,6144.000000
23680064,7168.000000
24320064,6144.000000
24960064,6144.000000
25600064,7168.000000
26240064,6144.000000
26880064,7168.000000
27520064,7168.000000
28160064,6144.000000
28800064,6144.000000
29440064,7168.000000
30080064,6144.000000
30720064,6144.000000
31360064,6144.000000
32000064,6144.000000
32640064,6144.000000
33280064,6144.000000
33920064,7168.000000
34560064,6144.000000
35200064,8192.000000
35840064,6144.000000
36480064,6144.000000
37120064,6144.000000
37760064,7168.000000
38400064,6144.000000
39040064,6144.000000
39680064,7168.000000
40320064,7168.000000
40960064,6144.000000
41600064,7168.000000
42240064,7168.000000
42880064,6144.000000
43520064,6144.000000
44160064,6144.000000
44800064,6144.000000
45440064,7168.000000
46080064,6144.000000
46720064,6144.000000
47360064,6144.000000
48000064,6144.000000
48640064,6144.000000
49280064,7168.000000
49920064,6144.000000
50560064,7168.000000
51200064,6144.000000
51840064,9216.000000
52480064,7168.000000
53120064,6144.000000
53760064,6144.000000
54400064,6144.000000
55040064,6144.000000
55680064,6144.000000
56320064,6144.000000
56960064,6144.000000
57600064,6144.000000
58240064,6144.000000
58880064,7168.000000
59520064,7168.000000
60160064,6144.000000
60800064,7168.000000
61440064,6144.000000
62080064,6144.000000
62720064,6144.000000
63360064,6144.000000
64,5120.000000
640064,6144.000000
1280064,6144.000000
1920064,6144.000000
2560064,6144.000000
3200064,6144.000000
3840064,6144.000000
4480064,6144.000000
5120064,6144.000000
5760064,6144.000000
6400064,6144.000000
7040064,6144.000000
7680064,7168.000000
8320064,6144.000000
8960064,6144.000000
9600064,6144.000000
10240064,6144.000000
10880064,6144.000000
11520064,6144.000000
12160064,6144.000000
12800064,6144.000000
13440064,6144.000000
14080064,6144.000000
14720064,7168.000000
15360064,6144.000000
16000064,9216.000000
16640064,6144.000000
17280064,7168.000000
17920064,6144.000000
18560064,6144.000000
19200064,6144.000000
19840064,6144.000000
20480064,6144.000000
21120064,7168.000000
21760064,6144.000000
22400064,7168.000000
23040064,6144.000000
23680064,6144.000000
24320064,7168.000000
24960064,6144.000000
25600064,6144.000000
26240064,6144.000000
26880064,6144.000000
27520064,8192.000000
28160064,7168.000000
28800064,7168.000000
29440064,6144.000000
30080064,8192.000000
30720064,7168.000000
31360064,6144.000000
32000064,6144.000000
32640064,6144.000000
33280064,6144.000000
33920064,7168.000000
34560064,6144.000000
35200064,6144.000000
35840064,6144.000000
36480064,7168.000000
37120064,6144.000000
37760064,7168.000000
38400064,6144.000000
39040064,7168.000000
39680064,6144.000000
40320064,6144.000000
40960064,7168.000000
41600064,7168.000000
42240064,6144.000000
42880064,6144.000000
43520064,6144.000000
44160064,6144.000000
44800064,7168.000000
45440064,6144.000000
46080064,7168.000000
46720064,6144.000000
47360064,6144.000000
48000064,8192.000000
48640064,7168.000000
49280064,7168.000000
49920064,6144.000000
50560064,6144.000000
51200064,6144.000000
51840064,6144.000000
52480064,6144.000000
53120064,6144.000000
53760064,6144.000000
54400064,6144.000000
55040064,6144.000000
55680064,6144.000000
56320064,6144.000000
56960064,7168.000000
57600064,6144.000000
58240064,7168.000000
58880064,6144.000000
59520064,7168.000000
60160064,6144.000000
60800064,7168.000000
61440064,6144.000000
62080064,6144.000000
62720064,7168.000000
